State,District,Year,Arhar/Tur,,,Bajra,,,,,,,,,Banana,,,Cashewnut,,,Coconut,,,Coriander,,,Cotton(lint),,,,,,,,,Cowpea(Lobia),,,,,,,,,Dry chillies,,,,,,,,,Garlic,,,Gram,,,Groundnut,,,,,,,,,Horse-gram,,,,,,,,,Jowar,,,,,,,,,Linseed,,,Maize,,,,,,,,,Mesta,,,Moong(Green Gram),,,,,,,,,Niger seed,,,Onion,,,,,,,,,Other Rabi pulses,,,Other Kharif pulses,,,Rapeseed &Mustard,,,,,,Rice,,,,,,,,,Safflower,,,Sesamum,,,Small millets,,,Soyabean,,,Sugarcane,,,Sunflower,,,,,,,,,Sweet potato,,,Turmeric,,,Urad,,,,,,,,,Wheat,,,Castor seed,,,Black pepper,,,Sannhamp,,,,,,Ginger,,,Potato,,,,,,,,,Ragi,,,,,,,,,Tapioca,,,Tobacco,,,Arecanut,,,Cardamom,,,Arcanut (Processed),,,Dry Ginger,,,Other Cereals,,,,,,Peas & beans (Pulses),,,,,,,,
,,,Kharif,,,Kharif,,,Summer,,,Rabi,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Whole Year,,,Rabi,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Rabi,,,Kharif,,,Rabi,,,Summer,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Kharif,,,Rabi,,,Summer,,,Rabi,,,Kharif,,,Rabi,,,Kharif,,,Kharif,,,Summer,,,Rabi,,,Rabi,,,Kharif,,,Kharif,,,Kharif,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Whole Year,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Rabi,,,Kharif,,,Whole Year,,,Whole Year,,,Kharif,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,,Kharif,,,Rabi,,,Summer,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Kharif,,,Rabi,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Karnataka,1. Bagalkot,2010 - 2011,"11,231.00","5,708.00",0.51,"34,045.00","49,726.00",1.46,,,,,,,"1,518.00","16,956.00",11.17,1,1,1,664,"63,47,000.00","9,558.73",229,85,0.37,"1,034.00","2,338.00",2.26,"1,357.00","1,938.00",1.43,,,,225,116,0.52,931,246,0.26,,,,"1,492.00",634,0.42,642,745,1.16,119,362,3.04,16,21,1.31,"78,006.00","50,581.00",0.65,"3,633.00","2,564.00",0.71,"17,639.00","25,136.00",1.43,,,,876,514,0.59,"1,045.00",637,0.61,,,,"3,707.00","10,608.00",2.86,"1,02,139.00","1,16,792.00",1.14,,,,"2,441.00",610,0.25,"60,240.00","2,42,030.00",4.02,"24,819.00","64,462.00",2.6,"2,961.00","9,446.00",3.19,4,5,1.25,"51,675.00","7,806.00",0.15,,,,,,,77,23,0.3,"17,139.00","1,41,312.00",8.25,"2,244.00","14,257.00",6.35,709,"10,377.00",14.64,119,46,0.39,477,153,0.32,12,4,0.33,,,,121,388,3.21,23,74,3.22,,,,"2,708.00","1,945.00",0.72,"2,470.00","1,666.00",0.67,26,10,0.38,"3,696.00","3,181.00",0.86,"79,930.00","78,97,084.00",98.8,"11,867.00","6,514.00",0.55,"19,626.00","14,452.00",0.74,"3,947.00","4,537.00",1.15,13,107,8.23,"2,150.00","13,177.00",6.13,4,1,0.25,,,,,,,"24,693.00","40,235.00",1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011 - 2012,"7,437.00","1,915.00",0.26,"33,222.00","42,396.00",1.28,,,,,,,"1,135.00","14,772.00",13.01,1,1,1,695,"69,09,000.00","9,941.01",164,67,0.41,"1,007.00","2,450.00",2.43,874,928,1.06,,,,524,277,0.53,940,331,0.35,,,,"2,135.00","3,095.00",1.45,605,587,0.97,127,445,3.5,13,16,1.23,"75,580.00","34,571.00",0.46,"3,782.00","1,945.00",0.51,"22,893.00","25,946.00",1.13,,,,730,435,0.6,926,262,0.28,,,,"6,439.00","14,927.00",2.32,"1,04,924.00","96,699.00",0.92,28,51,1.82,"1,758.00",635,0.36,"55,883.00","1,97,044.00",3.53,"24,019.00","74,159.00",3.09,"2,395.00","8,680.00",3.62,4,5,1.25,"42,815.00","7,443.00",0.17,,,,,,,178,48,0.27,"18,304.00","1,41,893.00",7.75,"1,561.00","17,276.00",11.07,362,"4,721.00",13.04,93,87,0.94,442,124,0.28,,,,,,,79,254,3.22,6,20,3.33,,,,"2,500.00","2,225.00",0.89,"1,949.00",443,0.23,25,8,0.32,"3,026.00","2,636.00",0.87,"89,361.00","80,64,830.00",90.25,"20,603.00","9,979.00",0.48,"26,904.00","13,012.00",0.48,"2,855.00","3,016.00",1.06,31,452,14.58,"3,225.00","22,475.00",6.97,32,12,0.38,,,,,,,"25,676.00","41,483.00",1.62,20,17,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012 - 2013,949,209,0.22,"19,091.00","18,227.00",0.95,,,,,,,,,,2,2,1,664,"65,37,000.00","9,844.88",145,57,0.39,477,909,1.91,328,409,1.25,,,,166,45,0.27,154,51,0.33,792,285,0.36,"1,387.00","4,923.00",3.55,610,"1,075.00",1.76,61,172,2.82,10,13,1.3,"73,967.00","39,069.00",0.53,"1,306.00",721,0.55,,,,"26,362.00","27,749.00",1.05,310,67,0.22,946,182,0.19,,,,"1,708.00","3,141.00",1.84,"1,18,324.00","1,51,076.00",1.28,,,,"2,393.00",334,0.14,"41,945.00","1,06,154.00",2.53,"24,328.00","63,025.00",2.59,"2,192.00","8,432.00",3.85,,,,925,48,0.05,,,,,,,6,1,0.17,"7,720.00","69,292.00",8.98,"1,094.00","8,916.00",8.15,365,"2,841.00",7.78,44,20,0.45,282,104,0.37,,,,,,,49,125,2.55,,,,,,,"1,338.00",824,0.62,37,14,0.38,1,,0,285,224,0.79,"91,361.00","79,84,951.00",87.4,"6,208.00","3,291.00",0.53,"32,822.00","17,274.00",0.53,"2,063.00","1,813.00",0.88,12,186,15.5,"1,797.00","9,159.00",5.1,,,,,,,,,,"20,920.00","18,662.00",0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013 - 2014,"4,074.00","2,129.00",0.52,"26,519.00","24,211.00",0.91,,,,,,,,,,3,3,1,776,"61,57,000.00","7,934.28",94,27,0.29,606,"1,795.00",2.96,354,653,1.84,,,,555,207,0.37,45,19,0.42,894,352,0.39,"1,227.00","5,383.00",4.39,622,"1,074.00",1.73,110,292,2.65,,,,"74,086.00","58,135.00",0.78,"2,082.00","1,454.00",0.7,,,,"26,190.00","26,747.00",1.02,389,92,0.24,930,188,0.2,,,,"2,708.00","4,757.00",1.76,"1,13,387.00","1,09,980.00",0.97,,,,"1,487.00",225,0.15,"51,814.00","1,83,308.00",3.54,"20,503.00","67,647.00",3.3,"2,825.00","8,384.00",2.97,,,,"37,597.00","4,750.00",0.13,,,,,,,106,23,0.22,"10,683.00","96,861.00",9.07,972,"9,730.00",10.01,328,"3,276.00",9.99,35,28,0.8,345,110,0.32,,,,,,,54,160,2.96,,,,,,,910,272,0.3,988,368,0.37,,,,"3,011.00","3,613.00",1.2,"86,942.00","90,02,844.00",103.55,"13,697.00","7,508.00",0.55,"32,687.00","17,669.00",0.54,"2,266.00","2,387.00",1.05,,,,"1,703.00","9,670.00",5.68,,,,,,,,,,"17,901.00","20,713.00",1.16,,,,6,15,2.5,3,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014 - 2015,"6,144.00","2,673.00",0.44,"22,021.00","24,288.00",1.1,,,,,,,,,,,,,743,"66,30,000.00","8,923.28",125,42,0.34,"3,299.00","8,996.00",2.73,210,334,1.59,350,663,1.89,83,36,0.43,120,44,0.37,546,200,0.37,977,"1,788.00",1.83,669,"2,021.00",3.02,84,162,1.93,,,,"91,880.00","54,728.00",0.6,"1,406.00","1,344.00",0.96,,,,"25,540.00","26,398.00",1.03,337,90,0.27,925,332,0.36,,,,965,"1,492.00",1.55,"1,04,822.00","1,02,867.00",0.98,,,,"1,770.00",454,0.26,"44,472.00","1,66,543.00",3.74,"20,789.00","81,388.00",3.91,"2,820.00","9,746.00",3.46,,,,"22,974.00","4,081.00",0.18,,,,,,,74,20,0.27,"10,969.00","82,750.00",7.54,"1,237.00","10,051.00",8.13,313,"2,880.00",9.2,36,28,0.78,182,80,0.44,,,,,,,25,76,3.04,,,,,,,890,348,0.39,188,86,0.46,,,,"2,505.00","2,401.00",0.96,"93,679.00","1,02,34,431.00",109.25,"13,020.00","8,151.00",0.63,"26,474.00","16,599.00",0.63,"1,915.00","1,939.00",1.01,,,,"2,164.00","15,005.00",6.93,630,175,0.28,,,,,,,"23,237.00","36,071.00",1.55,,,,,,,,,,,,,134,"3,892.00",29.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 - 2016,"4,547.00","1,261.00",0.28,"15,898.00","8,669.00",0.55,,,,,,,,,,,,,745,"62,30,000.00","8,362.42",150,64,0.43,"1,618.00","6,401.00",3.96,200,239,1.2,2,4,2,151,63,0.42,162,72,0.44,577,173,0.3,"1,097.00","2,078.00",1.89,292,718,2.46,95,174,1.83,7,9,1.29,"1,33,071.00","62,577.00",0.47,723,662,0.92,,,,"25,610.00","23,137.00",0.9,94,14,0.15,792,239,0.3,,,,"1,455.00","1,697.00",1.17,"1,09,159.00","92,398.00",0.85,,,,"2,419.00",324,0.13,"27,789.00","1,02,932.00",3.7,"13,864.00","45,242.00",3.26,"2,647.00","9,261.00",3.5,,,,"21,067.00","1,081.00",0.05,,,,,,,,,,"12,810.00","89,507.00",6.99,"1,549.00","13,303.00",8.59,642,"2,776.00",4.32,,,,55,22,0.4,,,,,,,32,87,2.72,,,,,,,"1,109.00",262,0.24,492,102,0.21,,,,"1,894.00","2,058.00",1.09,"94,085.00","90,27,456.00",95.95,"8,412.00","4,515.00",0.54,"19,706.00","9,491.00",0.48,"1,113.00",877,0.79,,,,"2,611.00","16,089.00",6.16,4,1,0.25,,,,,,,"20,118.00","27,808.00",1.38,,,,,,,,,,,,,54,"2,016.00",37.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 - 2017,"37,261.00","29,239.00",0.78,"29,342.00","32,809.00",1.12,,,,,,,,,,,,,777,"60,75,000.00","7,818.53",10,4,0.4,794,"1,664.00",2.1,210,67,0.32,,,,255,195,0.76,55,1,0.02,585,108,0.18,"3,277.00","5,364.00",1.64,"1,226.00","2,715.00",2.21,104,235,2.26,40,33,0.83,"1,01,083.00","32,554.00",0.32,"1,390.00","1,158.00",0.83,,,,"24,586.00","33,307.00",1.35,305,40,0.13,509,35,0.07,,,,969,"1,662.00",1.72,"97,615.00","46,831.00",0.48,,,,"1,746.00",80,0.05,"52,604.00","2,04,393.00",3.89,"10,980.00","43,445.00",3.96,"2,263.00","7,819.00",3.46,,,,"41,100.00","8,941.00",0.22,,,,,,,,,,"18,880.00","2,23,214.00",11.82,"4,218.00","72,637.00",17.22,275,"4,048.00",14.72,,,,219,77,0.35,,,,,,,17,47,2.76,,,,,,,"1,133.00",83,0.07,240,106,0.44,12,3,0.25,"3,955.00","3,949.00",1,"88,266.00","63,72,805.00",72.2,"16,527.00","8,824.00",0.53,"17,327.00","6,123.00",0.35,978,727,0.74,,,,"3,333.00","27,551.00",8.27,176,45,0.26,,,,,,,"22,101.00","28,303.00",1.28,,,,,,,,,,,,,22,556,25.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017 - 2018,"23,003.00","15,974.00",0.69,"21,826.00","34,150.00",1.56,,,,,,,,,,,,,585,"46,26,000.00","7,907.69",,,,"1,389.00","4,859.00",3.5,143,108,0.76,,,,60,14,0.23,115,47,0.41,215,64,0.3,"2,083.00","1,773.00",0.85,"1,704.00","4,371.00",2.57,172,345,2.01,15,13,0.87,"1,05,262.00","73,599.00",0.7,"1,271.00",999,0.79,,,,"27,062.00","41,057.00",1.52,420,390,0.93,510,179,0.35,,,,354,"1,078.00",3.05,"1,10,581.00","1,28,268.00",1.16,,,,"1,015.00",320,0.32,"41,804.00","1,91,023.00",4.57,"18,938.00","79,287.00",4.19,"2,174.00","11,438.00",5.26,,,,"39,021.00","4,930.00",0.13,,,,,,,40,9,0.23,"20,452.00","3,16,796.00",15.49,"5,004.00","85,706.00",17.13,410,"3,921.00",9.56,,,,91,14,0.15,,,,,,,,,,,,,,,,"1,312.00",707,0.54,282,285,1.01,220,120,0.55,949,"1,111.00",1.17,"83,339.00","67,29,624.00",80.75,"30,818.00","33,142.00",1.08,"2,198.00","1,819.00",0.83,993,840,0.85,1,13,13,"4,059.00","20,875.00",5.14,"1,874.00",166,0.09,,,,,,,"22,675.00","33,798.00",1.49,,,,,,,,,,,,,8,207,25.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018 - 2019,"42,565.00","19,329.00",0.45,"18,210.00","27,887.00",1.53,,,,,,,,,,16,19,1.19,361,"25,57,000.00","7,083.10",203,181,0.89,"1,006.00","1,973.00",1.96,,,,,,,10,4,0.4,40,11,0.28,335,44,0.13,"3,245.00","2,691.00",0.83,,,,,,,7,46,6.57,"1,09,255.00","45,253.00",0.41,"2,886.00","2,712.00",0.94,,,,"27,934.00","27,678.00",0.99,571,395,0.69,434,92,0.21,,,,"1,144.00","2,776.00",2.43,"95,092.00","65,314.00",0.69,,,,459,70,0.15,"48,516.00","2,02,244.00",4.17,"17,465.00","63,165.00",3.62,"2,064.00","8,888.00",4.31,,,,"40,834.00","8,534.00",0.21,,,,,,,4,1,0.25,"27,720.00","3,39,603.00",12.25,"6,694.00","1,09,622.00",16.38,"1,058.00","11,559.00",10.93,,,,201,92,0.46,,,,,,,54,154,2.85,,,,,,,260,70,0.27,248,165,0.67,155,63,0.41,795,974,1.23,"1,01,924.00","78,43,052.00",76.95,"32,562.00","32,512.00",1,"6,307.00","3,984.00",0.63,"1,048.00",927,0.88,8,116,14.5,"4,549.00","26,816.00",5.89,"1,737.00",883,0.51,,,,,,,"24,665.00","39,647.00",1.61,2,1,0.5,,,,12,3,0.25,,,,6,92.3,15.38,6,48,8,,,,,,,24,29,1.21,,,,,,,1,13,13,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
