State,District,Year,Crop,Season,Yield
Karnataka,Bagalkot,2010 - 2011,Arhar/Tur,Kharif,0.51
Karnataka,Bagalkot,2011 - 2012,Arhar/Tur,Kharif,0.26
Karnataka,Bagalkot,2012 - 2013,Arhar/Tur,Kharif,0.22
Karnataka,Bagalkot,2013 - 2014,Arhar/Tur,Kharif,0.52
Karnataka,Bagalkot,2014 - 2015,Arhar/Tur,Kharif,0.44
Karnataka,Bagalkot,2015 - 2016,Arhar/Tur,Kharif,0.28
Karnataka,Bagalkot,2016 - 2017,Arhar/Tur,Kharif,0.78
Karnataka,Bagalkot,2017 - 2018,Arhar/Tur,Kharif,0.69
Karnataka,Bagalkot,2018 - 2019,Arhar/Tur,Kharif,0.45
Karnataka,Bagalkot,2019 - 2020,Arhar/Tur,Kharif,0.59
Karnataka,Bagalkot,2020 - 2021,Arhar/Tur,Kharif,0.88
Karnataka,rural,2010 - 2011,Arhar/Tur,Kharif,1.1
Karnataka,rural,2011 - 2012,Arhar/Tur,Kharif,0.61
Karnataka,rural,2012 - 2013,Arhar/Tur,Kharif,0.61
Karnataka,rural,2013 - 2014,Arhar/Tur,Kharif,0.64
Karnataka,rural,2014 - 2015,Arhar/Tur,Kharif,1.12
Karnataka,rural,2015 - 2016,Arhar/Tur,Kharif,0.37
Karnataka,rural,2016 - 2017,Arhar/Tur,Kharif,1.81
Karnataka,rural,2017 - 2018,Arhar/Tur,Kharif,0.85
Karnataka,rural,2018 - 2019,Arhar/Tur,Kharif,0.96
Karnataka,rural,2019 - 2020,Arhar/Tur,Kharif,1.1
Karnataka,rural,2020 - 2021,Arhar/Tur,Kharif,1.15
Karnataka,Belgaum,2010 - 2011,Arhar/Tur,Kharif,0.35
Karnataka,Belgaum,2011 - 2012,Arhar/Tur,Kharif,0.39
Karnataka,Belgaum,2012 - 2013,Arhar/Tur,Kharif,0.5
Karnataka,Belgaum,2013 - 2014,Arhar/Tur,Kharif,0.43
Karnataka,Belgaum,2014 - 2015,Arhar/Tur,Kharif,0.81
Karnataka,Belgaum,2015 - 2016,Arhar/Tur,Kharif,0.23
Karnataka,Belgaum,2016 - 2017,Arhar/Tur,Kharif,0.74
Karnataka,Belgaum,2017 - 2018,Arhar/Tur,Kharif,0.68
Karnataka,Belgaum,2018 - 2019,Arhar/Tur,Kharif,0.52
Karnataka,Belgaum,2019 - 2020,Arhar/Tur,Kharif,0.43
Karnataka,Belgaum,2020 - 2021,Arhar/Tur,Kharif,0.42
Karnataka,Bellary,2010 - 2011,Arhar/Tur,Kharif,0.41
Karnataka,Bellary,2011 - 2012,Arhar/Tur,Kharif,0.33
Karnataka,Bellary,2012 - 2013,Arhar/Tur,Kharif,0.35
Karnataka,Bellary,2013 - 2014,Arhar/Tur,Kharif,0.49
Karnataka,Bellary,2014 - 2015,Arhar/Tur,Kharif,0.38
Karnataka,Bellary,2015 - 2016,Arhar/Tur,Kharif,0.36
Karnataka,Bellary,2016 - 2017,Arhar/Tur,Kharif,0.59
Karnataka,Bellary,2017 - 2018,Arhar/Tur,Kharif,0.82
Karnataka,Bellary,2018 - 2019,Arhar/Tur,Kharif,0.67
Karnataka,Bellary,2019 - 2020,Arhar/Tur,Kharif,0.83
Karnataka,Bellary,2020 - 2021,Arhar/Tur,Kharif,0.75
Karnataka,urban,2010 - 2011,Arhar/Tur,Kharif,0.59
Karnataka,urban,2011 - 2012,Arhar/Tur,Kharif,0.46
Karnataka,urban,2012 - 2013,Arhar/Tur,Kharif,0.71
Karnataka,urban,2013 - 2014,Arhar/Tur,Kharif,0.92
Karnataka,urban,2014 - 2015,Arhar/Tur,Kharif,0.65
Karnataka,urban,2015 - 2016,Arhar/Tur,Kharif,0.37
Karnataka,urban,2016 - 2017,Arhar/Tur,Kharif,1.0
Karnataka,urban,2017 - 2018,Arhar/Tur,Kharif,0.95
Karnataka,urban,2018 - 2019,Arhar/Tur,Kharif,0.61
Karnataka,urban,2019 - 2020,Arhar/Tur,Kharif,0.69
Karnataka,urban,2020 - 2021,Arhar/Tur,Kharif,0.76
Karnataka,Bidar,2010 - 2011,Arhar/Tur,Kharif,0.9
Karnataka,Bidar,2011 - 2012,Arhar/Tur,Kharif,0.59
Karnataka,Bidar,2012 - 2013,Arhar/Tur,Kharif,1.2
Karnataka,Bidar,2013 - 2014,Arhar/Tur,Kharif,0.81
Karnataka,Bidar,2014 - 2015,Arhar/Tur,Kharif,0.67
Karnataka,Bidar,2015 - 2016,Arhar/Tur,Kharif,0.44
Karnataka,Bidar,2016 - 2017,Arhar/Tur,Kharif,1.24
Karnataka,Bidar,2017 - 2018,Arhar/Tur,Kharif,1.65
Karnataka,Bidar,2018 - 2019,Arhar/Tur,Kharif,0.45
Karnataka,Bidar,2019 - 2020,Arhar/Tur,Kharif,1.22
Karnataka,Bidar,2020 - 2021,Arhar/Tur,Kharif,0.77
Karnataka,Bijapur,2010 - 2011,Arhar/Tur,Kharif,0.57
Karnataka,Bijapur,2011 - 2012,Arhar/Tur,Kharif,0.38
Karnataka,Bijapur,2012 - 2013,Arhar/Tur,Kharif,0.59
Karnataka,Bijapur,2013 - 2014,Arhar/Tur,Kharif,0.94
Karnataka,Bijapur,2014 - 2015,Arhar/Tur,Kharif,0.61
Karnataka,Bijapur,2015 - 2016,Arhar/Tur,Kharif,0.29
Karnataka,Bijapur,2016 - 2017,Arhar/Tur,Kharif,0.85
Karnataka,Bijapur,2017 - 2018,Arhar/Tur,Kharif,0.61
Karnataka,Bijapur,2018 - 2019,Arhar/Tur,Kharif,0.32
Karnataka,Bijapur,2019 - 2020,Arhar/Tur,Kharif,0.44
Karnataka,Bijapur,2020 - 2021,Arhar/Tur,Kharif,0.43
Karnataka,Chamarajanagar,2010 - 2011,Arhar/Tur,Kharif,0.52
Karnataka,Chamarajanagar,2011 - 2012,Arhar/Tur,Kharif,0.44
Karnataka,Chamarajanagar,2012 - 2013,Arhar/Tur,Kharif,0.96
Karnataka,Chamarajanagar,2013 - 2014,Arhar/Tur,Kharif,0.33
Karnataka,Chamarajanagar,2014 - 2015,Arhar/Tur,Kharif,0.45
Karnataka,Chamarajanagar,2015 - 2016,Arhar/Tur,Kharif,0.26
Karnataka,Chamarajanagar,2016 - 2017,Arhar/Tur,Kharif,0.08
Karnataka,Chamarajanagar,2017 - 2018,Arhar/Tur,Kharif,0.96
Karnataka,Chamarajanagar,2018 - 2019,Arhar/Tur,Kharif,0.46
Karnataka,Chamarajanagar,2019 - 2020,Arhar/Tur,Kharif,0.74
Karnataka,Chamarajanagar,2020 - 2021,Arhar/Tur,Kharif,0.52
Karnataka,Chikballapur,2010 - 2011,Arhar/Tur,Kharif,0.84
Karnataka,Chikballapur,2011 - 2012,Arhar/Tur,Kharif,0.68
Karnataka,Chikballapur,2012 - 2013,Arhar/Tur,Kharif,0.38
Karnataka,Chikballapur,2013 - 2014,Arhar/Tur,Kharif,0.81
Karnataka,Chikballapur,2014 - 2015,Arhar/Tur,Kharif,0.54
Karnataka,Chikballapur,2015 - 2016,Arhar/Tur,Kharif,0.49
Karnataka,Chikballapur,2016 - 2017,Arhar/Tur,Kharif,0.38
Karnataka,Chikballapur,2017 - 2018,Arhar/Tur,Kharif,1.04
Karnataka,Chikballapur,2018 - 2019,Arhar/Tur,Kharif,0.28
Karnataka,Chikballapur,2019 - 2020,Arhar/Tur,Kharif,0.65
Karnataka,Chikballapur,2020 - 2021,Arhar/Tur,Kharif,0.72
Karnataka,Chikmagalur,2010 - 2011,Arhar/Tur,Kharif,0.59
Karnataka,Chikmagalur,2011 - 2012,Arhar/Tur,Kharif,0.46
Karnataka,Chikmagalur,2012 - 2013,Arhar/Tur,Kharif,0.71
Karnataka,Chikmagalur,2013 - 2014,Arhar/Tur,Kharif,0.92
Karnataka,Chikmagalur,2014 - 2015,Arhar/Tur,Kharif,0.65
Karnataka,Chikmagalur,2015 - 2016,Arhar/Tur,Kharif,0.37
Karnataka,Chikmagalur,2016 - 2017,Arhar/Tur,Kharif,1.0
Karnataka,Chikmagalur,2017 - 2018,Arhar/Tur,Kharif,0.95
Karnataka,Chikmagalur,2018 - 2019,Arhar/Tur,Kharif,0.61
Karnataka,Chikmagalur,2019 - 2020,Arhar/Tur,Kharif,0.69
Karnataka,Chikmagalur,2020 - 2021,Arhar/Tur,Kharif,0.76
Karnataka,Chitradurga,2010 - 2011,Arhar/Tur,Kharif,0.71
Karnataka,Chitradurga,2011 - 2012,Arhar/Tur,Kharif,0.61
Karnataka,Chitradurga,2012 - 2013,Arhar/Tur,Kharif,0.65
Karnataka,Chitradurga,2013 - 2014,Arhar/Tur,Kharif,0.81
Karnataka,Chitradurga,2014 - 2015,Arhar/Tur,Kharif,0.83
Karnataka,Chitradurga,2015 - 2016,Arhar/Tur,Kharif,1.0
Karnataka,Chitradurga,2016 - 2017,Arhar/Tur,Kharif,0.28
Karnataka,Chitradurga,2017 - 2018,Arhar/Tur,Kharif,0.76
Karnataka,Chitradurga,2018 - 2019,Arhar/Tur,Kharif,0.45
Karnataka,Chitradurga,2019 - 2020,Arhar/Tur,Kharif,0.47
Karnataka,Chitradurga,2020 - 2021,Arhar/Tur,Kharif,0.65
Karnataka,kannad,2018 - 2019,Arhar/Tur,Kharif,1.0
Karnataka,kannad,2019 - 2020,Arhar/Tur,Kharif,1.0
Karnataka,Davangere,2010 - 2011,Arhar/Tur,Kharif,1.07
Karnataka,Davangere,2011 - 2012,Arhar/Tur,Kharif,0.83
Karnataka,Davangere,2012 - 2013,Arhar/Tur,Kharif,0.57
Karnataka,Davangere,2013 - 2014,Arhar/Tur,Kharif,0.76
Karnataka,Davangere,2014 - 2015,Arhar/Tur,Kharif,1.41
Karnataka,Davangere,2015 - 2016,Arhar/Tur,Kharif,0.64
Karnataka,Davangere,2016 - 2017,Arhar/Tur,Kharif,0.61
Karnataka,Davangere,2017 - 2018,Arhar/Tur,Kharif,1.04
Karnataka,Davangere,2018 - 2019,Arhar/Tur,Kharif,1.04
Karnataka,Davangere,2019 - 2020,Arhar/Tur,Kharif,0.46
Karnataka,Davangere,2020 - 2021,Arhar/Tur,Kharif,0.85
Karnataka,Dharwad,2010 - 2011,Arhar/Tur,Kharif,0.58
Karnataka,Dharwad,2011 - 2012,Arhar/Tur,Kharif,0.64
Karnataka,Dharwad,2012 - 2013,Arhar/Tur,Kharif,0.31
Karnataka,Dharwad,2013 - 2014,Arhar/Tur,Kharif,0.74
Karnataka,Dharwad,2014 - 2015,Arhar/Tur,Kharif,1.02
Karnataka,Dharwad,2015 - 2016,Arhar/Tur,Kharif,0.27
Karnataka,Dharwad,2016 - 2017,Arhar/Tur,Kharif,0.52
Karnataka,Dharwad,2017 - 2018,Arhar/Tur,Kharif,0.43
Karnataka,Dharwad,2018 - 2019,Arhar/Tur,Kharif,0.29
Karnataka,Dharwad,2019 - 2020,Arhar/Tur,Kharif,0.71
Karnataka,Dharwad,2020 - 2021,Arhar/Tur,Kharif,0.57
Karnataka,Gadag,2010 - 2011,Arhar/Tur,Kharif,0.41
Karnataka,Gadag,2011 - 2012,Arhar/Tur,Kharif,0.31
Karnataka,Gadag,2012 - 2013,Arhar/Tur,Kharif,0.23
Karnataka,Gadag,2013 - 2014,Arhar/Tur,Kharif,0.37
Karnataka,Gadag,2014 - 2015,Arhar/Tur,Kharif,0.47
Karnataka,Gadag,2015 - 2016,Arhar/Tur,Kharif,0.18
Karnataka,Gadag,2016 - 2017,Arhar/Tur,Kharif,0.48
Karnataka,Gadag,2017 - 2018,Arhar/Tur,Kharif,0.64
Karnataka,Gadag,2018 - 2019,Arhar/Tur,Kharif,0.27
Karnataka,Gadag,2019 - 2020,Arhar/Tur,Kharif,0.51
Karnataka,Gadag,2020 - 2021,Arhar/Tur,Kharif,0.52
Karnataka,Gulbarga,2010 - 2011,Arhar/Tur,Kharif,0.55
Karnataka,Gulbarga,2011 - 2012,Arhar/Tur,Kharif,0.47
Karnataka,Gulbarga,2012 - 2013,Arhar/Tur,Kharif,0.74
Karnataka,Gulbarga,2013 - 2014,Arhar/Tur,Kharif,1.07
Karnataka,Gulbarga,2014 - 2015,Arhar/Tur,Kharif,0.67
Karnataka,Gulbarga,2015 - 2016,Arhar/Tur,Kharif,0.36
Karnataka,Gulbarga,2016 - 2017,Arhar/Tur,Kharif,1.39
Karnataka,Gulbarga,2017 - 2018,Arhar/Tur,Kharif,1.15
Karnataka,Gulbarga,2018 - 2019,Arhar/Tur,Kharif,0.93
Karnataka,Gulbarga,2019 - 2020,Arhar/Tur,Kharif,0.86
Karnataka,Gulbarga,2020 - 2021,Arhar/Tur,Kharif,1.07
Karnataka,Hassan,2010 - 2011,Arhar/Tur,Kharif,0.61
Karnataka,Hassan,2011 - 2012,Arhar/Tur,Kharif,0.62
