State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,BAGALKOT,2010,11231.0,5708.0,0.51,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2011,7437.0,1915.0,0.26,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2012,949.0,209.0,0.22,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2013,4074.0,2129.0,0.52,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2014,6144.0,2673.0,0.44,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2015,4547.0,1261.0,0.28,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2016,37261.0,29239.0,0.78,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2017,23003.0,15974.0,0.69,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2018,42565.0,19329.0,0.45,Arhar,Kharif,,,,
1. Karnataka,BAGALKOT,2019,50933.0,30145.0,0.59,Arhar,Kharif,0.1023,0.1023,,1.0
1. Karnataka,BAGALKOT,2020,51972.0,45579.0,0.88,Arhar,Kharif,0.299025,0.319,0.016773267421704093,4.0
1. Karnataka,BANGALOR,2010,1640.0,1806.0,1.1,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2011,1650.0,1014.0,0.61,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2012,1197.0,729.0,0.61,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2013,1274.0,815.0,0.64,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2014,1554.0,1736.0,1.12,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2015,1416.0,527.0,0.37,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2016,1274.0,2301.0,1.81,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2017,1347.0,1144.0,0.85,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2018,815.0,782.0,0.96,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2019,822.0,906.0,1.1,Arhar,Kharif,,,,
1. Karnataka,BANGALOR,2020,1049.0,1202.0,1.15,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2010,5623.0,1955.0,0.35,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2011,4160.0,1636.0,0.39,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2012,2314.0,1167.0,0.5,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2013,3834.0,1650.0,0.43,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2014,2869.0,2322.0,0.81,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2015,5075.0,1143.0,0.23,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2016,9895.0,7295.0,0.74,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2017,6278.0,4276.0,0.68,Arhar,Kharif,,,,
1. Karnataka,BELGAUM,2018,14881.0,7719.0,0.52,Arhar,Kharif,,,,
